,date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue
70,2018-01-10,44,3,44,306,2018-01,490.61999999999995
71,2018-01-11,0,0,0,0,2018-01,0.0
72,2018-01-12,0,0,0,0,2018-01,0.0
73,2018-01-13,0,0,0,0,2018-01,0.0
74,2018-01-14,0,0,0,0,2018-01,0.0
75,2018-01-15,0,0,0,0,2018-01,0.0
76,2018-01-16,75,3,67,592,2018-01,249.66
77,2018-01-17,0,0,0,0,2018-01,0.0
78,2018-01-18,0,0,0,0,2018-01,0.0
79,2018-01-19,0,0,0,0,2018-01,0.0
80,2018-01-20,0,0,0,0,2018-01,0.0
81,2018-01-21,0,0,0,0,2018-01,0.0
82,2018-01-22,0,0,0,0,2018-01,0.0
83,2018-01-23,29,2,29,273,2018-01,121.66
84,2018-01-24,0,0,0,0,2018-01,0.0
85,2018-01-25,0,0,0,0,2018-01,0.0
86,2018-01-26,0,0,0,0,2018-01,0.0
87,2018-01-27,0,0,0,0,2018-01,0.0
88,2018-01-28,25,1,25,264,2018-01,45.910000000000004
89,2018-01-29,0,0,0,0,2018-01,0.0
90,2018-01-30,0,0,0,0,2018-01,0.0
91,2018-01-31,29,1,29,266,2018-01,99.84
92,2018-02-01,1,1,1,1,2018-02,51.0
93,2018-02-02,0,0,0,0,2018-02,0.0
94,2018-02-03,0,0,0,0,2018-02,0.0
95,2018-02-04,50,1,50,476,2018-02,106.15
96,2018-02-05,0,0,0,0,2018-02,0.0
97,2018-02-06,159,5,146,1558,2018-02,384.03
98,2018-02-07,0,0,0,0,2018-02,0.0
99,2018-02-08,68,5,56,473,2018-02,305.15000000000003
100,2018-02-09,18,1,18,152,2018-02,112.49000000000001
101,2018-02-10,0,0,0,0,2018-02,0.0
102,2018-02-11,0,0,0,0,2018-02,0.0
103,2018-02-12,0,0,0,0,2018-02,0.0
104,2018-02-13,0,0,0,0,2018-02,0.0
105,2018-02-14,0,0,0,0,2018-02,0.0
106,2018-02-15,0,0,0,0,2018-02,0.0
107,2018-02-16,0,0,0,0,2018-02,0.0
108,2018-02-17,0,0,0,0,2018-02,0.0
109,2018-02-18,0,0,0,0,2018-02,0.0
110,2018-02-19,1,1,1,2,2018-02,1.25
111,2018-02-20,57,3,56,494,2018-02,223.28
112,2018-02-21,0,0,0,0,2018-02,0.0
113,2018-02-22,20,1,20,204,2018-02,58.15
114,2018-02-23,0,0,0,0,2018-02,0.0
115,2018-02-24,0,0,0,0,2018-02,0.0
116,2018-02-25,0,0,0,0,2018-02,0.0
117,2018-02-26,37,1,37,336,2018-02,92.27999999999999
118,2018-02-27,68,3,65,545,2018-02,291.80999999999995
119,2018-02-28,21,3,20,161,2018-02,68.93
120,2018-03-01,12,1,12,106,2018-03,40.650000000000006
121,2018-03-02,19,1,19,164,2018-03,65.79
122,2018-03-03,0,0,0,0,2018-03,0.0
123,2018-03-04,0,0,0,0,2018-03,0.0
124,2018-03-05,4,1,4,9,2018-03,11.5
125,2018-03-06,45,2,41,391,2018-03,145.36999999999998
126,2018-03-07,4,1,4,8,2018-03,12.7
127,2018-03-08,0,0,0,0,2018-03,0.0
128,2018-03-09,27,2,26,143,2018-03,109.44999999999999
129,2018-03-10,0,0,0,0,2018-03,0.0
130,2018-03-11,0,0,0,0,2018-03,0.0
131,2018-03-12,50,1,50,456,2018-03,131.41
132,2018-03-13,0,0,0,0,2018-03,0.0
133,2018-03-14,0,0,0,0,2018-03,0.0
134,2018-03-15,61,1,61,505,2018-03,168.37999999999994
135,2018-03-16,0,0,0,0,2018-03,0.0
136,2018-03-17,0,0,0,0,2018-03,0.0
137,2018-03-18,0,0,0,0,2018-03,0.0
138,2018-03-19,0,0,0,0,2018-03,0.0
139,2018-03-20,0,0,0,0,2018-03,0.0
140,2018-03-21,33,2,32,344,2018-03,102.57000000000001
141,2018-03-22,10,1,10,100,2018-03,26.62
142,2018-03-23,4,1,4,4,2018-03,24.8
143,2018-03-24,0,0,0,0,2018-03,0.0
144,2018-03-25,0,0,0,0,2018-03,0.0
145,2018-03-26,0,0,0,0,2018-03,0.0
146,2018-03-27,4,1,4,11,2018-03,12.399999999999999
147,2018-03-28,0,0,0,0,2018-03,0.0
148,2018-03-29,26,1,26,271,2018-03,60.1
149,2018-03-30,0,0,0,0,2018-03,0.0
150,2018-03-31,0,0,0,0,2018-03,0.0
151,2018-04-01,0,0,0,0,2018-04,0.0
152,2018-04-02,0,0,0,0,2018-04,0.0
153,2018-04-03,0,0,0,0,2018-04,0.0
154,2018-04-04,9,1,9,87,2018-04,19.08
155,2018-04-05,0,0,0,0,2018-04,0.0
156,2018-04-06,25,2,23,211,2018-04,96.05
157,2018-04-07,0,0,0,0,2018-04,0.0
158,2018-04-08,0,0,0,0,2018-04,0.0
159,2018-04-09,0,0,0,0,2018-04,0.0
160,2018-04-10,0,0,0,0,2018-04,0.0
161,2018-04-11,53,2,47,437,2018-04,196.15999999999997
162,2018-04-12,0,0,0,0,2018-04,0.0
163,2018-04-13,5,1,5,72,2018-04,2.76
164,2018-04-14,0,0,0,0,2018-04,0.0
165,2018-04-15,0,0,0,0,2018-04,0.0
166,2018-04-16,0,0,0,0,2018-04,0.0
167,2018-04-17,0,0,0,0,2018-04,0.0
168,2018-04-18,49,1,49,429,2018-04,135.87
169,2018-04-19,2,1,2,8,2018-04,3.38
170,2018-04-20,12,1,12,60,2018-04,61.70000000000001
171,2018-04-21,0,0,0,0,2018-04,0.0
172,2018-04-22,0,0,0,0,2018-04,0.0
173,2018-04-23,0,0,0,0,2018-04,0.0
174,2018-04-24,0,0,0,0,2018-04,0.0
175,2018-04-25,69,2,68,679,2018-04,178.11999999999998
176,2018-04-26,3,1,3,10,2018-04,12.15
177,2018-04-27,0,0,0,0,2018-04,0.0
178,2018-04-28,0,0,0,0,2018-04,0.0
179,2018-04-29,0,0,0,0,2018-04,0.0
180,2018-04-30,0,0,0,0,2018-04,0.0
181,2018-05-01,0,0,0,0,2018-05,0.0
182,2018-05-02,0,0,0,0,2018-05,0.0
183,2018-05-03,174,5,152,1833,2018-05,465.52
184,2018-05-04,47,2,44,445,2018-05,133.74999999999997
185,2018-05-05,0,0,0,0,2018-05,0.0
186,2018-05-06,0,0,0,0,2018-05,0.0
187,2018-05-07,15,1,15,115,2018-05,40.36000000000001
188,2018-05-08,27,1,27,283,2018-05,53.410000000000004
189,2018-05-09,20,1,20,163,2018-05,62.489999999999995
190,2018-05-10,35,2,35,295,2018-05,106.88000000000001
191,2018-05-11,2,1,2,5,2018-05,4.6
192,2018-05-12,0,0,0,0,2018-05,0.0
193,2018-05-13,21,1,21,234,2018-05,63.2
194,2018-05-14,0,0,0,0,2018-05,0.0
195,2018-05-15,0,0,0,0,2018-05,0.0
196,2018-05-16,2,1,2,7,2018-05,4.2
197,2018-05-17,0,0,0,0,2018-05,0.0
198,2018-05-18,12,1,12,133,2018-05,49.65
199,2018-05-19,0,0,0,0,2018-05,0.0
200,2018-05-20,0,0,0,0,2018-05,0.0
201,2018-05-21,0,0,0,0,2018-05,0.0
202,2018-05-22,0,0,0,0,2018-05,0.0
203,2018-05-23,73,2,72,506,2018-05,270.08
204,2018-05-24,0,0,0,0,2018-05,0.0
205,2018-05-25,4,2,3,24,2018-05,3.8
206,2018-05-26,0,0,0,0,2018-05,0.0
207,2018-05-27,0,0,0,0,2018-05,0.0
208,2018-05-28,0,0,0,0,2018-05,0.0
209,2018-05-29,10,1,10,92,2018-05,23.8
210,2018-05-30,20,3,18,154,2018-05,84.15
211,2018-05-31,29,4,26,245,2018-05,109.41000000000001
212,2018-06-01,16,1,16,100,2018-06,52.620000000000005
213,2018-06-02,0,0,0,0,2018-06,0.0
214,2018-06-03,32,1,32,311,2018-06,90.03999999999999
215,2018-06-04,0,0,0,0,2018-06,0.0
216,2018-06-05,0,0,0,0,2018-06,0.0
217,2018-06-06,5,1,5,57,2018-06,22.0
218,2018-06-07,34,4,31,276,2018-06,131.89
219,2018-06-08,37,1,37,355,2018-06,119.68999999999998
220,2018-06-09,0,0,0,0,2018-06,0.0
221,2018-06-10,0,0,0,0,2018-06,0.0
222,2018-06-11,41,2,41,404,2018-06,123.31
223,2018-06-12,0,0,0,0,2018-06,0.0
224,2018-06-13,0,0,0,0,2018-06,0.0
225,2018-06-14,72,1,72,712,2018-06,140.59
226,2018-06-15,0,0,0,0,2018-06,0.0
227,2018-06-16,0,0,0,0,2018-06,0.0
228,2018-06-17,0,0,0,0,2018-06,0.0
229,2018-06-18,0,0,0,0,2018-06,0.0
230,2018-06-19,35,1,35,295,2018-06,89.0
231,2018-06-20,0,0,0,0,2018-06,0.0
232,2018-06-21,23,1,23,206,2018-06,79.63
233,2018-06-22,0,0,0,0,2018-06,0.0
234,2018-06-23,0,0,0,0,2018-06,0.0
235,2018-06-24,0,0,0,0,2018-06,0.0
236,2018-06-25,0,0,0,0,2018-06,0.0
237,2018-06-26,52,4,48,423,2018-06,187.24
238,2018-06-27,39,1,39,415,2018-06,95.88000000000001
239,2018-06-28,23,1,23,158,2018-06,83.08
240,2018-06-29,0,0,0,0,2018-06,0.0
241,2018-06-30,0,0,0,0,2018-06,0.0
242,2018-07-01,0,0,0,0,2018-07,0.0
243,2018-07-02,39,3,39,353,2018-07,92.11999999999999
244,2018-07-03,6,1,6,74,2018-07,15.55
245,2018-07-04,16,1,16,172,2018-07,53.50000000000001
246,2018-07-05,0,0,0,0,2018-07,0.0
247,2018-07-06,0,0,0,0,2018-07,0.0
248,2018-07-07,0,0,0,0,2018-07,0.0
249,2018-07-08,0,0,0,0,2018-07,0.0
250,2018-07-09,0,0,0,0,2018-07,0.0
251,2018-07-10,0,0,0,0,2018-07,0.0
252,2018-07-11,0,0,0,0,2018-07,0.0
253,2018-07-12,57,3,47,481,2018-07,210.4
254,2018-07-13,0,0,0,0,2018-07,0.0
255,2018-07-14,0,0,0,0,2018-07,0.0
256,2018-07-15,0,0,0,0,2018-07,0.0
257,2018-07-16,0,0,0,0,2018-07,0.0
258,2018-07-17,0,0,0,0,2018-07,0.0
259,2018-07-18,3,1,3,5,2018-07,10.45
260,2018-07-19,23,1,23,253,2018-07,53.71
261,2018-07-20,53,1,53,552,2018-07,162.41
262,2018-07-21,0,0,0,0,2018-07,0.0
263,2018-07-22,8,1,8,69,2018-07,36.61
264,2018-07-23,0,0,0,0,2018-07,0.0
265,2018-07-24,76,2,66,210,2018-07,138.20999999999995
266,2018-07-25,37,2,35,397,2018-07,139.49999999999997
267,2018-07-26,20,4,19,135,2018-07,3871.3999999999996
268,2018-07-27,0,0,0,0,2018-07,0.0
269,2018-07-28,0,0,0,0,2018-07,0.0
270,2018-07-29,0,0,0,0,2018-07,0.0
271,2018-07-30,0,0,0,0,2018-07,0.0
272,2018-07-31,0,0,0,0,2018-07,0.0
273,2018-08-01,10,1,10,98,2018-08,34.15
274,2018-08-02,8,2,8,20,2018-08,42.150000000000006
275,2018-08-03,0,0,0,0,2018-08,0.0
276,2018-08-04,0,0,0,0,2018-08,0.0
277,2018-08-05,0,0,0,0,2018-08,0.0
278,2018-08-06,84,2,84,943,2018-08,160.85
279,2018-08-07,0,0,0,0,2018-08,0.0
280,2018-08-08,0,0,0,0,2018-08,0.0
281,2018-08-09,0,0,0,0,2018-08,0.0
282,2018-08-10,0,0,0,0,2018-08,0.0
283,2018-08-11,0,0,0,0,2018-08,0.0
284,2018-08-12,10,1,10,101,2018-08,31.56
285,2018-08-13,0,0,0,0,2018-08,0.0
286,2018-08-14,0,0,0,0,2018-08,0.0
287,2018-08-15,0,0,0,0,2018-08,0.0
288,2018-08-16,0,0,0,0,2018-08,0.0
289,2018-08-17,0,0,0,0,2018-08,0.0
290,2018-08-18,0,0,0,0,2018-08,0.0
291,2018-08-19,0,0,0,0,2018-08,0.0
292,2018-08-20,22,1,22,270,2018-08,32.69
293,2018-08-21,0,0,0,0,2018-08,0.0
294,2018-08-22,72,3,67,528,2018-08,308.37
295,2018-08-23,0,0,0,0,2018-08,0.0
296,2018-08-24,0,0,0,0,2018-08,0.0
297,2018-08-25,0,0,0,0,2018-08,0.0
298,2018-08-26,0,0,0,0,2018-08,0.0
299,2018-08-27,0,0,0,0,2018-08,0.0
300,2018-08-28,17,2,17,121,2018-08,39.08
301,2018-08-29,9,1,9,14,2018-08,38.55
302,2018-08-30,81,6,69,638,2018-08,2507.3500000000004
303,2018-08-31,45,2,41,356,2018-08,156.85
304,2018-09-01,0,0,0,0,2018-09,0.0
305,2018-09-02,8,1,8,90,2018-09,27.05
306,2018-09-03,24,1,24,230,2018-09,59.33999999999999
307,2018-09-04,17,1,17,143,2018-09,52.339999999999996
308,2018-09-05,15,1,15,128,2018-09,52.59
309,2018-09-06,179,4,144,1563,2018-09,521.81
310,2018-09-07,3,1,3,7,2018-09,32.65
311,2018-09-08,0,0,0,0,2018-09,0.0
312,2018-09-09,0,0,0,0,2018-09,0.0
313,2018-09-10,2,1,2,5,2018-09,22.7
314,2018-09-11,35,2,34,313,2018-09,120.99
315,2018-09-12,1,1,1,1,2018-09,18.0
316,2018-09-13,4,1,4,41,2018-09,21.35
317,2018-09-14,1,1,1,0,2018-09,4.95
318,2018-09-15,0,0,0,0,2018-09,0.0
319,2018-09-16,0,0,0,0,2018-09,0.0
320,2018-09-17,14,3,12,88,2018-09,84.11
321,2018-09-18,0,0,0,0,2018-09,0.0
322,2018-09-19,36,1,36,302,2018-09,98.3
323,2018-09-20,60,3,60,711,2018-09,169.39999999999995
324,2018-09-21,0,0,0,0,2018-09,0.0
325,2018-09-22,0,0,0,0,2018-09,0.0
326,2018-09-23,0,0,0,0,2018-09,0.0
327,2018-09-24,0,0,0,0,2018-09,0.0
328,2018-09-25,45,1,45,79,2018-09,6.81
329,2018-09-26,2,1,2,5,2018-09,3.4
330,2018-09-27,33,3,32,311,2018-09,90.34
331,2018-09-28,0,0,0,0,2018-09,0.0
332,2018-09-29,0,0,0,0,2018-09,0.0
333,2018-09-30,42,2,38,472,2018-09,102.92
334,2018-10-01,27,2,26,262,2018-10,56.11
335,2018-10-02,10,1,10,83,2018-10,60.800000000000004
336,2018-10-03,0,0,0,0,2018-10,0.0
337,2018-10-04,0,0,0,0,2018-10,0.0
338,2018-10-05,0,0,0,0,2018-10,0.0
339,2018-10-06,0,0,0,0,2018-10,0.0
340,2018-10-07,47,1,47,424,2018-10,122.26999999999998
341,2018-10-08,92,3,89,851,2018-10,212.56999999999996
342,2018-10-09,50,3,46,359,2018-10,248.56999999999996
343,2018-10-10,43,2,40,431,2018-10,129.43
344,2018-10-11,133,4,69,1038,2018-10,320.89
345,2018-10-12,27,2,26,214,2018-10,99.91
346,2018-10-13,0,0,0,0,2018-10,0.0
347,2018-10-14,0,0,0,0,2018-10,0.0
348,2018-10-15,0,0,0,0,2018-10,0.0
349,2018-10-16,0,0,0,0,2018-10,0.0
350,2018-10-17,16,3,16,151,2018-10,60.06
351,2018-10-18,2,1,2,1,2018-10,11.399999999999999
352,2018-10-19,52,3,52,472,2018-10,181.48999999999998
353,2018-10-20,0,0,0,0,2018-10,0.0
354,2018-10-21,92,3,88,293,2018-10,211.09999999999997
355,2018-10-22,3,2,3,7,2018-10,16.55
356,2018-10-23,68,2,65,281,2018-10,131.74
357,2018-10-24,0,0,0,0,2018-10,0.0
358,2018-10-25,0,0,0,0,2018-10,0.0
359,2018-10-26,5,1,5,31,2018-10,12.55
360,2018-10-27,0,0,0,0,2018-10,0.0
361,2018-10-28,0,0,0,0,2018-10,0.0
362,2018-10-29,2,1,2,3,2018-10,7.5
363,2018-10-30,30,1,30,306,2018-10,85.85000000000001
364,2018-10-31,0,0,0,0,2018-10,0.0
365,2018-11-01,0,0,0,0,2018-11,0.0
366,2018-11-02,0,0,0,0,2018-11,0.0
367,2018-11-03,0,0,0,0,2018-11,0.0
368,2018-11-04,31,2,29,252,2018-11,109.89000000000001
369,2018-11-05,4,2,4,6,2018-11,19.299999999999997
370,2018-11-06,109,5,100,947,2018-11,405.52
371,2018-11-07,10,1,10,93,2018-11,49.849999999999994
372,2018-11-08,101,2,82,302,2018-11,228.58999999999995
373,2018-11-09,21,2,21,144,2018-11,37.86000000000001
374,2018-11-10,0,0,0,0,2018-11,0.0
375,2018-11-11,14,1,14,145,2018-11,13.349999999999998
376,2018-11-12,0,0,0,0,2018-11,0.0
377,2018-11-13,118,4,109,1074,2018-11,361.49
378,2018-11-14,12,1,12,123,2018-11,29.82
379,2018-11-15,0,0,0,0,2018-11,0.0
380,2018-11-16,139,7,108,1261,2018-11,613.5899999999999
381,2018-11-17,0,0,0,0,2018-11,0.0
382,2018-11-18,54,3,51,336,2018-11,186.55999999999997
383,2018-11-19,79,2,79,754,2018-11,196.49999999999997
384,2018-11-20,124,4,119,455,2018-11,206.52999999999997
385,2018-11-21,0,0,0,0,2018-11,0.0
386,2018-11-22,0,0,0,0,2018-11,0.0
387,2018-11-23,112,4,99,914,2018-11,318.22
388,2018-11-24,0,0,0,0,2018-11,0.0
389,2018-11-25,0,0,0,0,2018-11,0.0
390,2018-11-26,18,2,16,164,2018-11,33.25
391,2018-11-27,11,2,11,64,2018-11,60.85
392,2018-11-28,40,1,20,534,2018-11,110.58000000000001
393,2018-11-29,0,0,0,0,2018-11,0.0
394,2018-11-30,46,2,22,414,2018-11,179.76000000000002
395,2018-12-01,0,0,0,0,2018-12,0.0
396,2018-12-02,126,1,63,918,2018-12,574.38
397,2018-12-03,0,0,0,0,2018-12,0.0
398,2018-12-04,122,2,60,1035,2018-12,364.88000000000005
399,2018-12-05,22,1,11,153,2018-12,81.42000000000002
400,2018-12-06,186,5,84,1751,2018-12,588.6600000000001
401,2018-12-07,16,1,16,156,2018-12,58.5
402,2018-12-08,0,0,0,0,2018-12,0.0
403,2018-12-09,0,0,0,0,2018-12,0.0
404,2018-12-10,0,0,0,0,2018-12,0.0
405,2018-12-11,0,0,0,0,2018-12,0.0
406,2018-12-12,67,1,67,134,2018-12,117.72000000000001
407,2018-12-13,3,3,2,9,2018-12,6.25
408,2018-12-14,11,2,10,100,2018-12,56.09
409,2018-12-15,0,0,0,0,2018-12,0.0
410,2018-12-16,0,0,0,0,2018-12,0.0
411,2018-12-17,62,2,60,549,2018-12,188.82999999999998
412,2018-12-18,5,2,5,26,2018-12,175.39
413,2018-12-19,4,1,4,80,2018-12,4.74
414,2018-12-20,0,0,0,0,2018-12,0.0
415,2018-12-21,0,0,0,0,2018-12,0.0
416,2018-12-22,0,0,0,0,2018-12,0.0
417,2018-12-23,0,0,0,0,2018-12,0.0
418,2018-12-24,0,0,0,0,2018-12,0.0
419,2018-12-25,0,0,0,0,2018-12,0.0
420,2018-12-26,0,0,0,0,2018-12,0.0
421,2018-12-27,0,0,0,0,2018-12,0.0
422,2018-12-28,0,0,0,0,2018-12,0.0
423,2018-12-29,0,0,0,0,2018-12,0.0
424,2018-12-30,0,0,0,0,2018-12,0.0
425,2018-12-31,0,0,0,0,2018-12,0.0
426,2019-01-01,0,0,0,0,2019-01,0.0
427,2019-01-02,76,4,66,655,2019-01,255.28
428,2019-01-03,47,3,44,315,2019-01,235.54999999999995
429,2019-01-04,37,2,34,296,2019-01,155.80999999999997
430,2019-01-05,0,0,0,0,2019-01,0.0
431,2019-01-06,9,1,9,78,2019-01,20.2
432,2019-01-07,50,1,50,466,2019-01,148.73
433,2019-01-08,30,4,27,253,2019-01,128.14000000000001
434,2019-01-09,63,4,60,532,2019-01,241.26999999999998
435,2019-01-10,0,0,0,0,2019-01,0.0
436,2019-01-11,91,3,82,891,2019-01,224.52999999999997
437,2019-01-12,0,0,0,0,2019-01,0.0
438,2019-01-13,0,0,0,0,2019-01,0.0
439,2019-01-14,21,1,21,241,2019-01,74.83
440,2019-01-15,0,0,0,0,2019-01,0.0
441,2019-01-16,31,1,31,289,2019-01,96.66000000000001
442,2019-01-17,73,2,73,649,2019-01,227.82
443,2019-01-18,3,1,3,6,2019-01,5.45
444,2019-01-19,0,0,0,0,2019-01,0.0
445,2019-01-20,12,1,12,90,2019-01,60.4
446,2019-01-21,9,1,9,79,2019-01,20.549999999999997
447,2019-01-22,4,3,4,9,2019-01,24.75
448,2019-01-23,0,0,0,0,2019-01,0.0
449,2019-01-24,3,1,3,6,2019-01,5.45
450,2019-01-25,51,3,47,372,2019-01,239.79999999999998
451,2019-01-26,0,0,0,0,2019-01,0.0
452,2019-01-27,0,0,0,0,2019-01,0.0
453,2019-01-28,65,3,63,637,2019-01,188.76999999999998
454,2019-01-29,19,1,19,165,2019-01,82.05
455,2019-01-30,29,2,28,280,2019-01,108.49000000000001
456,2019-01-31,0,0,0,0,2019-01,0.0
457,2019-02-01,63,1,63,570,2019-02,157.93999999999997
458,2019-02-02,0,0,0,0,2019-02,0.0
459,2019-02-03,0,0,0,0,2019-02,0.0
460,2019-02-04,0,0,0,0,2019-02,0.0
461,2019-02-05,14,1,14,139,2019-02,30.590000000000003
462,2019-02-06,27,1,27,234,2019-02,86.13000000000001
463,2019-02-07,13,1,13,146,2019-02,28.71
464,2019-02-08,0,0,0,0,2019-02,0.0
465,2019-02-09,0,0,0,0,2019-02,0.0
466,2019-02-10,0,0,0,0,2019-02,0.0
467,2019-02-11,1,1,1,1,2019-02,0.42
468,2019-02-12,12,2,11,102,2019-02,63.20000000000001
469,2019-02-13,49,2,48,538,2019-02,91.32
470,2019-02-14,16,1,16,116,2019-02,57.7
471,2019-02-15,55,3,55,579,2019-02,130.37999999999997
472,2019-02-16,0,0,0,0,2019-02,0.0
473,2019-02-17,0,0,0,0,2019-02,0.0
474,2019-02-18,41,2,40,320,2019-02,151.43
475,2019-02-19,3,2,3,1,2019-02,7.9
476,2019-02-20,21,2,21,245,2019-02,49.330000000000005
477,2019-02-21,0,0,0,0,2019-02,0.0
478,2019-02-22,0,0,0,0,2019-02,0.0
479,2019-02-23,0,0,0,0,2019-02,0.0
480,2019-02-24,5,1,5,50,2019-02,23.85
481,2019-02-25,58,4,54,462,2019-02,215.4
482,2019-02-26,59,2,56,497,2019-02,184.89000000000001
483,2019-02-27,0,0,0,0,2019-02,0.0
484,2019-02-28,30,2,29,273,2019-02,104.76
485,2019-03-01,16,1,16,114,2019-03,66.85
486,2019-03-02,0,0,0,0,2019-03,0.0
487,2019-03-03,0,0,0,0,2019-03,0.0
488,2019-03-04,1,1,1,0,2019-03,0.85
489,2019-03-05,3,1,3,8,2019-03,13.85
490,2019-03-06,0,0,0,0,2019-03,0.0
491,2019-03-07,0,0,0,0,2019-03,0.0
492,2019-03-08,20,1,20,179,2019-03,94.95
493,2019-03-09,0,0,0,0,2019-03,0.0
494,2019-03-10,18,1,18,160,2019-03,53.82
495,2019-03-11,21,1,21,166,2019-03,92.10000000000001
496,2019-03-12,30,2,30,272,2019-03,76.27
497,2019-03-13,16,2,16,113,2019-03,79.34
498,2019-03-14,0,0,0,0,2019-03,0.0
499,2019-03-15,0,0,0,0,2019-03,0.0
500,2019-03-16,0,0,0,0,2019-03,0.0
501,2019-03-17,15,1,15,154,2019-03,30.78
502,2019-03-18,44,2,42,90,2019-03,90.16
503,2019-03-19,31,1,31,201,2019-03,125.74
504,2019-03-20,74,4,65,687,2019-03,223.01999999999998
505,2019-03-21,0,0,0,0,2019-03,0.0
506,2019-03-22,23,1,23,210,2019-03,63.21
507,2019-03-23,0,0,0,0,2019-03,0.0
508,2019-03-24,8,1,8,53,2019-03,63.05
509,2019-03-25,69,1,69,684,2019-03,156.69000000000003
510,2019-03-26,0,0,0,0,2019-03,0.0
511,2019-03-27,0,0,0,0,2019-03,0.0
512,2019-03-28,72,3,71,718,2019-03,214.69
513,2019-03-29,13,3,13,138,2019-03,32.22
514,2019-03-30,0,0,0,0,2019-03,0.0
515,2019-03-31,0,0,0,0,2019-03,0.0
516,2019-04-01,28,2,27,212,2019-04,217.7
517,2019-04-02,2,2,1,3,2019-04,2272.6
518,2019-04-03,0,0,0,0,2019-04,0.0
519,2019-04-04,24,1,24,185,2019-04,90.30000000000001
520,2019-04-05,0,0,0,0,2019-04,0.0
521,2019-04-06,0,0,0,0,2019-04,0.0
